order_id,customer_id,order_date,country,category,product,quantity,unit_price,total_amount,status,payment_method,is_returned
ORD-025971,,2022-10-12,,,Notebook Set,4,,,delivered,Cash,False
ORD-018155,CUST-3717,"December 14, 2023",UK,home & garden,Yoga Mat,8,$299.23,2393.84,Pending,PayPal,N
ORD-049438,CUST-3125,28 Mar 2022,U.S.A,Books,Yoga Mat,5,156.97,784.85,delivered,Cash,False
ORD-032820,CUST-2804,2023-10-23,UK,clothing ,USB Hub,7,£264.23,1849.61,shipped,PayPal,Yes
ORD-049609,CUST-1947,11/04/2023,Australia,Home and Garden,Desk Lamp,3,111.57,466.65,Pending,Credit Card,Yes
ORD-013207,CUST-7038,06/10/2022,US,clothing ,Backpack,4,£218.27,873.08,delivered,Cash,True
ORD-000665,,2022-08-18,,,Coffee Table,3,,,Delivered,PayPal,No
ORD-008369,CUST-4683,15 Jan 2023,United States,home & garden,Backpack,5,29.11,145.55,cancelled,Bank Transfer,True
ORD-005217,CUST-5800,"July 05, 2023",australia,SPORTS,Desk Lamp,8,175.22,1401.76,cancelled,Credit Card,0
ORD-035556,CUST-0013,18/06/2023,Canada,Clothing,LED Strip Lights,7,$188.69,1320.83,Delivered,PayPal,0
ORD-033749,CUST-3243,16/07/2023,,,Travel Mug,1,"$1,384.57",1384.57,delivered,Cash,N
ORD-008376,,"August 30, 2023",,,Mechanical Keyboard,7,,,Pending,Cash,N
ORD-017318,CUST-3140,15 Jan 2024,United Kingdom,Home & Garden,Wireless Headphones,6,"$1,779.05",10674.3,delivered,Credit Card,False
ORD-004760,CUST-1807,07-30-2022,Canada,Home & Garden,Notebook Set,5,£89.79,448.95,DELIVERED,Cash,yes
ORD-023252,CUST-7381,11-24-2022,australia,books,Travel Mug,9,$158.42,1425.78,cancelled,PayPal,TRUE
ORD-012709,CUST-5887,10-12-2023,AUS,Clothing,Mechanical Keyboard,3,214.83,644.49,DELIVERED,PayPal,Yes
ORD-002523,,2022-01-09,,,Coffee Table,9,,603.99,delivered,Credit Card,TRUE
ORD-008021,CUST-2893,09/06/2024,Germany,Books,Python Programming Book,2,178.82,357.64,Delivered,Cash,0
ORD-002869,CUST-3603,2022-03-21,,,Coffee Table,3,262.78,788.34,pending,Credit Card,yes
ORD-045428,CUST-5029,2022-09-24,AUS,Clothing,Office Chair,2,£55.71,111.42,pending,PayPal,FALSE
ORD-033808,,12 Dec 2022,,,Office Chair,4,,,Pending,PayPal,Y
ORD-028446,,09-01-2023,,,Yoga Mat,4,,,Pending,Credit Card,False
ORD-011070,,10/04/2022,,,USB Hub,6,,,Shipped,PayPal,yes
ORD-006468,CUST-6337,2023-08-25,,,Coffee Table,2,289.88,579.76,Pending,Cash,0
ORD-017052,CUST-7128,2023-04-16,AUS,home & garden,Notebook Set,4,61.32,245.28,Cancelled,Bank Transfer,1
ORD-027613,CUST-5473,13/03/2024,DE,SPORTS,Monitor Stand,9,£295.24,2657.16,DELIVERED,Cash,1
ORD-031047,CUST-7439,"January 13, 2024",DE,Home and Garden,Monitor Stand,5,237.17,1185.85,Shipped,Bank Transfer,0
ORD-029279,CUST-1560,2023-12-03,Australia,Home & Garden,Travel Mug,6,$65.61,393.66,pending,PayPal,True
ORD-037034,CUST-2582,09/04/2024,United Kingdom,clothing ,Running Shoes,9,98.05,882.45,cancelled,Cash,1
ORD-025807,CUST-3059,2022-12-16,United States,BOOKS,Mechanical Keyboard,6,68.72,306.95,shipped,Cash,1
ORD-011842,CUST-0644,23 Apr 2024,Australia,Sports ,Backpack,6,£204.54,1227.24,DELIVERED,Bank Transfer,yes
ORD-034439,CUST-0317,01-24-2022,germany,ELECTRONICS,Laptop Stand,4,115.66,462.64,delivered,Bank Transfer,False
ORD-039056,CUST-2842,23/10/2023,UK,electronics,Office Chair,2,13.07,26.14,pending,Bank Transfer,TRUE
ORD-024857,CUST-5124,2022-09-04,germany, clothing,Office Chair,2,$293.12,586.24,Cancelled,Bank Transfer,True
ORD-034043,CUST-2749,11-24-2022,CANADA,Sports ,Coffee Table,8,167.71,1341.68,Cancelled,PayPal,False
ORD-017818,CUST-1162,"April 05, 2023",AUS,Books,Coffee Table,5,$85.57,427.85,Delivered,Credit Card,True
ORD-030259,CUST-0479,2022-10-14,AUS,Home and Garden,Bluetooth Speaker,4,$230.31,921.24,cancelled,Bank Transfer,True
ORD-023221,CUST-1367,"June 21, 2022",UK,BOOKS,Wireless Headphones,5,£120.56,602.8,Shipped,Cash,Y
ORD-011639,CUST-1524,17 Oct 2023,DE,Home & Garden,Wireless Headphones,2,190.75,381.5,Delivered,PayPal,no
ORD-016826,CUST-5595,"July 10, 2022",U.K.,electronics,Resistance Bands,9,164.23,1478.07,Cancelled,PayPal,1
ORD-027507,CUST-3415,30/12/2022,United Kingdom,,Office Chair,6,$48.84,293.04,Shipped,Credit Card,TRUE
ORD-003494,,05/01/2024,,,Running Shoes,9,,,Delivered,Cash,True
ORD-017114,CUST-7950,2023-10-25,australia,Sports,Yoga Mat,4,190.43,761.72,Cancelled,Credit Card,TRUE
ORD-022005,CUST-1323,"December 25, 2022",australia,Books,Office Chair,9,$192.61,1733.49,shipped,Credit Card,Y
ORD-002009,,01/08/2023,,,Backpack,2,,,shipped,Bank Transfer,True
ORD-024025,CUST-5365,19/06/2022,AUS,Sports ,Laptop Stand,4,33.28,133.12,DELIVERED,Cash,False
ORD-020459,CUST-0791,21 Feb 2024,Germany,Home & Garden,Laptop Stand,8,$280.88,2247.04,DELIVERED,Bank Transfer,TRUE
ORD-012025,CUST-6915,23 Nov 2022,UK, clothing,Sunglasses,6,£268.54,1611.24,Pending,Bank Transfer,False
ORD-022514,CUST-5291,05/01/2022,USA,ELECTRONICS,Monitor Stand,6,£280.68,1684.08,Cancelled,Cash,Y
ORD-016412,CUST-1169,2022-07-11,AUS,electronics,LED Strip Lights,1,137.11,137.11,Pending,Cash,True
ORD-037936,CUST-6006,2022-11-06,U.S.A,books,LED Strip Lights,5,£9.42,47.1,cancelled,PayPal,No
ORD-002516,CUST-7154,"January 07, 2022",UK,ELECTRONICS,Bluetooth Speaker,7,187.01,1309.07,pending,PayPal,FALSE
ORD-038804,CUST-5721,"May 29, 2024",canada,Sports ,Desk Lamp,1,119.08,119.08,pending,PayPal,Y
ORD-049456,CUST-4659,16 Sep 2022,U.S.A,ELECTRONICS,Monitor Stand,2,"$1,369.40",2738.8,Pending,PayPal,Yes
ORD-028091,CUST-1794,10/12/2022,germany,Home and Garden,Wireless Headphones,8,61.47,491.76,Pending,Credit Card,0
ORD-002976,CUST-1525,2022-09-19,United Kingdom,,Bluetooth Speaker,1,53.45,53.45,delivered,PayPal,FALSE
ORD-027680,CUST-1858,2022-12-18,australia,BOOKS,Monitor Stand,8,$246.29,1970.32,Shipped,PayPal,1
ORD-035205,,2023-07-25,,,Wireless Headphones,8,,,delivered,Credit Card,N
ORD-047080,CUST-1424,07 Jul 2023,germany, clothing,Bluetooth Speaker,5,$282.48,1412.4,pending,Bank Transfer,FALSE
ORD-017980,CUST-5573,23/12/2023,United States,ELECTRONICS,Yoga Mat,1,"$1,483.81",1483.81,Cancelled,PayPal,no
ORD-016636,CUST-6877,"April 05, 2023",canada,Sports ,Wireless Headphones,3,£128.64,385.92,Delivered,Cash,FALSE
ORD-025582,CUST-3421,09/10/2022,Australia,books,Running Shoes,8,39.87,318.96,shipped,Cash,Y
ORD-003367,CUST-7964,"August 11, 2022",Australia,ELECTRONICS,Python Programming Book,5,210.73,1053.65,Pending,Cash,yes
ORD-047481,CUST-4181,24 May 2022,DE, clothing,Backpack,1,£283.02,283.02,delivered,Cash,yes
ORD-043535,CUST-6054,"June 01, 2024",australia,Electronics,Bluetooth Speaker,3,228.35,685.05,delivered,Cash,1
ORD-013702,,2023-02-26,,,Coffee Table,8,,,Shipped,PayPal,True
ORD-002442,,2022-07-08,,,Desk Lamp,3,,845.43,pending,Cash,1
ORD-048719,CUST-1592,10-29-2022,germany, clothing,Backpack,9,16.01,144.09,cancelled,Bank Transfer,True
ORD-040642,CUST-4853,2022-03-10,DE,Home and Garden,Yoga Mat,4,150.74,558.46,pending,Credit Card,no
ORD-016691,CUST-0899,2022-10-15,AUS,electronics,Yoga Mat,2,$244.72,489.44,delivered,Bank Transfer,1
ORD-045993,CUST-0425,02-05-2024,australia,Electronics,Running Shoes,8,28.22,225.76,cancelled,Cash,no
ORD-049839,CUST-7922,03-25-2024,USA,Sports ,Office Chair,5,190.32,951.6,Cancelled,Credit Card,False
ORD-040193,CUST-6629,"March 06, 2023",U.K.,Clothing,Wireless Headphones,2,99.94,199.88,Shipped,Cash,True
ORD-039563,CUST-1902,2023-04-06,DE,ELECTRONICS,Running Shoes,6,38.32,229.92,Pending,PayPal,True
ORD-004414,CUST-3113,06-25-2023,United Kingdom,books,Notebook Set,6,63.44,380.64,delivered,Bank Transfer,1
ORD-023312,CUST-5948,2022-10-26,AUS,Home & Garden,Running Shoes,7,296.48,2075.36,DELIVERED,PayPal,FALSE
ORD-018833,CUST-2750,2023-09-04,United States,ELECTRONICS,Backpack,7,119.07,833.49,pending,PayPal,1
ORD-022504,CUST-6248,"March 03, 2022",Australia,Home & Garden,Office Chair,6,297.8,1786.8,Pending,Cash,Y
ORD-010952,CUST-5340,04-28-2022,DE,Home & Garden,LED Strip Lights,4,$295.36,601.05,delivered,Cash,True
ORD-024714,CUST-0427,28/07/2022,AUS,BOOKS,Resistance Bands,3,77.6,232.8,cancelled,Cash,0
ORD-020076,CUST-7211,29/04/2023,Germany,electronics,Phone Case,8,213.87,1710.96,cancelled,Cash,no
ORD-034568,,04-11-2024,,,USB Hub,4,,,shipped,PayPal,Y
ORD-010640,CUST-7924,06-18-2024,United Kingdom,BOOKS,USB Hub,1,$87.39,87.39,shipped,Credit Card,True
ORD-025621,CUST-4750,07-24-2023,CANADA,Electronics,Running Shoes,3,"$1,328.22",3984.66,Cancelled,Bank Transfer,yes
ORD-048438,CUST-7061,2024-01-18,United Kingdom,Clothing,Sunglasses,1,£242.6,242.6,DELIVERED,Credit Card,Yes
ORD-003169,CUST-3327,2023-03-29,,,Office Chair,5,$47.87,239.35,cancelled,Credit Card,True
ORD-003105,,22/08/2022,,,Coffee Table,7,,,shipped,Cash,True
ORD-023836,CUST-4928,09-24-2023,US,Home and Garden,Yoga Mat,1,$210.75,210.75,delivered,Bank Transfer,TRUE
ORD-045180,CUST-2631,"February 10, 2022",United States,,Wireless Headphones,1,263.81,263.81,pending,Credit Card,FALSE
ORD-022459,CUST-2653,04-07-2022,australia,,Desk Lamp,4,269.79,1079.16,pending,Credit Card,N
ORD-023288,CUST-6611,2022-02-23,Germany,Home and Garden,Backpack,5,$37.64,188.2,DELIVERED,Credit Card,0
ORD-035009,CUST-4678,04-01-2024,Canada,electronics,Phone Case,4,179.1,716.4,Shipped,PayPal,0
ORD-019864,CUST-0102,21/01/2023,canada,books,Yoga Mat,2,$180.65,361.3,Cancelled,Bank Transfer,TRUE
ORD-005611,CUST-6402,08-07-2022,CANADA,ELECTRONICS,Coffee Table,3,$51.62,154.86,Shipped,Bank Transfer,0
ORD-021367,CUST-6833,16/03/2024,Canada,Books,Laptop Stand,6,129.93,779.58,Pending,Bank Transfer,1
ORD-030382,CUST-5656,09 Jun 2024,U.S.A,Home & Garden,Monitor Stand,8,276.33,2210.64,Shipped,PayPal,False
ORD-031806,CUST-1514,04-17-2022,Australia,Sports,Yoga Mat,9,$180.71,1626.39,DELIVERED,Bank Transfer,yes
ORD-007252,CUST-5262,2023-07-23,canada,BOOKS,Yoga Mat,6,158.03,948.18,cancelled,Credit Card,True
ORD-013372,CUST-0386,09-01-2023,US,BOOKS,Coffee Table,1,83.02,83.02,Delivered,Bank Transfer,No
ORD-005693,CUST-0311,09/04/2024,australia,Home and Garden,LED Strip Lights,5,£18.97,94.85,Delivered,Credit Card,True
ORD-014110,CUST-0079,27 Aug 2022,Germany,,Python Programming Book,3,289.06,867.18,shipped,Bank Transfer,0
ORD-031574,CUST-5523,28/07/2022,australia,Sports,Water Bottle,9,6.77,60.93,delivered,Cash,TRUE
ORD-036412,CUST-5636,2023-04-05,CANADA,Clothing,Python Programming Book,9,$215.84,1942.56,Cancelled,Bank Transfer,False
ORD-024368,CUST-6298,2022-05-24,US,Clothing,Yoga Mat,1,"$1,041.37",1041.37,delivered,PayPal,0
ORD-004845,,01-23-2022,,,Monitor Stand,7,,,shipped,PayPal,True
ORD-011488,CUST-1279,02-05-2022,United States,Sports,USB Hub,9,$147.63,1328.67,Delivered,Cash,0
ORD-018393,CUST-2635,09/03/2024,Australia,Home & Garden,Bluetooth Speaker,4,136.64,546.56,Cancelled,Cash,No
ORD-033510,CUST-6908,25/12/2023,USA,Sports ,Phone Case,4,183.73,734.92,shipped,Cash,TRUE
ORD-006498,CUST-6201,07-04-2023,U.S.A,Books,Monitor Stand,1,158.47,158.47,Cancelled,Credit Card,1
ORD-012059,CUST-1001,2022-11-12,CANADA,SPORTS,Office Chair,8,$254.31,2098.31,pending,Cash,FALSE
ORD-037476,CUST-4064,29 Oct 2023,canada,Clothing,Notebook Set,9,177.27,1595.43,Pending,PayPal,Y
ORD-014712,CUST-2756,08/04/2024,USA,,Resistance Bands,6,5.09,30.54,Cancelled,Credit Card,Y
ORD-041272,CUST-5073,2023-10-11,Canada,Home & Garden,Water Bottle,7,£193.47,1354.29,delivered,Credit Card,No
ORD-014238,CUST-7235,"May 27, 2022",USA,SPORTS,Yoga Mat,7,84.51,591.57,pending,PayPal,True
ORD-019056,CUST-1136,"January 03, 2024",UK,ELECTRONICS,Phone Case,9,176.68,1590.12,cancelled,Credit Card,FALSE
ORD-009847,CUST-1113,07-27-2022,DE,Books,Resistance Bands,4,$13.93,55.72,Cancelled,Credit Card,No
ORD-049566,CUST-5199,2022-01-10,U.S.A,electronics,Python Programming Book,3,"$1,149.22",3572.23,Pending,Bank Transfer,False
ORD-019809,CUST-6615,23/03/2024,U.S.A,BOOKS,Bluetooth Speaker,2,$106.88,213.76,Cancelled,Credit Card,FALSE
ORD-017732,CUST-0066,17/10/2023,USA,Home and Garden,USB Hub,3,95.71,287.13,DELIVERED,Cash,FALSE
ORD-013063,CUST-2800,2022-05-12,AUS,,Resistance Bands,4,$22.1,88.4,Delivered,Cash,TRUE
ORD-019528,CUST-0487,2023-07-23,UK,books,Python Programming Book,1,"$1,978.20",1978.2,Pending,Bank Transfer,False
ORD-014829,CUST-4575,04-15-2024,US,Sports ,Laptop Stand,1,$253.17,253.17,Cancelled,Credit Card,No
ORD-014147,CUST-6292,2023-07-21,CANADA,books,Monitor Stand,3,£155.13,465.39,pending,Cash,No
ORD-020852,CUST-2705,02-25-2023,Australia,Sports ,USB Hub,1,295.22,295.22,shipped,PayPal,yes
ORD-031984,CUST-6545,03/04/2023,Germany,books,Laptop Stand,6,131.75,790.5,shipped,Bank Transfer,True
ORD-033422,CUST-4692,23 Jan 2024,australia,SPORTS,USB Hub,4,108.32,433.28,Cancelled,Credit Card,True
ORD-006021,,05/11/2022,,,Monitor Stand,4,,,shipped,PayPal,yes
ORD-049748,CUST-1521,07/03/2024,United Kingdom,SPORTS,USB Hub,6,208.63,1251.78,pending,Bank Transfer,Y
ORD-015801,CUST-4080,03-29-2023,CANADA,Sports,Sunglasses,8,250.33,2002.64,Shipped,Bank Transfer,True
ORD-042487,CUST-0374,04-28-2022,germany,home & garden,Running Shoes,4,£14.44,57.76,pending,Cash,False
ORD-021583,CUST-3291,2023-06-29,germany,BOOKS,Sunglasses,3,276.77,830.31,shipped,Credit Card,TRUE
ORD-010400,CUST-4749,19/03/2023,USA,Sports ,Running Shoes,2,194.71,389.42,pending,Cash,No
ORD-033231,CUST-6839,30/03/2024,germany,BOOKS,Laptop Stand,8,112.05,896.4,shipped,Bank Transfer,FALSE
ORD-030779,CUST-2481,2023-03-31,canada,home & garden,Water Bottle,5,£169.35,846.75,Delivered,PayPal,N
ORD-005492,CUST-0402,11-25-2022,AUS,clothing ,Sunglasses,1,35.3,35.3,shipped,Bank Transfer,False
ORD-030702,CUST-7075,12-30-2023,canada, clothing,Yoga Mat,4,7.54,30.16,cancelled,Cash,0
ORD-025032,CUST-7750,28/09/2022,United Kingdom,Home and Garden,Backpack,8,14.38,115.04,Shipped,PayPal,FALSE
ORD-045847,CUST-3949,"July 25, 2023",United States,SPORTS,USB Hub,6,£76.55,459.3,DELIVERED,Credit Card,TRUE
ORD-030051,CUST-7656,"August 19, 2022",United Kingdom,SPORTS,Bluetooth Speaker,6,231.35,1388.1,Pending,PayPal,Y
ORD-029972,CUST-1526,02-25-2023,USA, clothing,Backpack,5,166.38,831.9,Cancelled,PayPal,TRUE
ORD-006096,,2022-10-13,,,USB Hub,7,,,DELIVERED,Bank Transfer,N
ORD-006393,CUST-1500,28/03/2024,CANADA,books,Monitor Stand,1,$144.16,144.16,pending,PayPal,TRUE
ORD-017880,CUST-7693,24/08/2023,AUS,Home & Garden,Bluetooth Speaker,2,22.58,45.16,DELIVERED,Credit Card,N
ORD-005504,,15/06/2023,,,Bluetooth Speaker,7,,,shipped,Cash,yes
ORD-016478,CUST-7883,05-02-2024,United States,Home & Garden,Water Bottle,1,$190.39,190.39,shipped,Credit Card,N
ORD-036663,CUST-1784,13 Jan 2024,U.S.A,Books,USB Hub,6,"$1,436.58",8619.48,Pending,Cash,False
ORD-014241,CUST-7684,02-18-2023,germany,Home and Garden,Office Chair,4,151.48,605.92,Delivered,PayPal,False
ORD-040918,CUST-6398,"August 29, 2022",United Kingdom,Clothing,Yoga Mat,1,236.53,236.53,DELIVERED,Bank Transfer,False
ORD-019539,,2023-12-30,,,LED Strip Lights,7,,,Shipped,PayPal,FALSE
ORD-015014,CUST-1503,29/07/2023,Germany,electronics,USB Hub,2,$289.37,578.74,Pending,PayPal,TRUE
ORD-035103,CUST-4993,"July 26, 2023",U.S.A,Electronics,USB Hub,1,44.86,44.86,Pending,Bank Transfer,no
ORD-019603,,06-17-2022,,,Yoga Mat,1,,,shipped,Bank Transfer,1
ORD-026287,CUST-2762,21 Feb 2024,USA,BOOKS,Laptop Stand,4,"$1,296.42",5185.68,cancelled,Cash,FALSE
ORD-022810,,27/10/2023,,,Bluetooth Speaker,2,,,cancelled,Credit Card,1
ORD-013677,CUST-5852,2024-06-13,US,Electronics,Sunglasses,3,77.18,231.54,Pending,Cash,TRUE
ORD-035649,CUST-4953,2024-03-23,Australia,BOOKS,Desk Lamp,5,105.99,529.95,Shipped,Cash,no
ORD-012511,CUST-3013,26/06/2023,,,Office Chair,7,£268.68,1880.76,delivered,Bank Transfer,yes
ORD-024192,CUST-6903,28/05/2023,Germany,clothing ,LED Strip Lights,7,147.58,1033.06,Pending,Credit Card,False
ORD-015667,CUST-0501,2022-07-28,Australia,electronics,USB Hub,1,$118.29,118.29,Shipped,Credit Card,False
ORD-027448,CUST-4828,2022-03-13,CANADA,SPORTS,Wireless Headphones,5,£13.73,68.65,cancelled,Bank Transfer,No
ORD-010332,CUST-3488,28/03/2022,australia,books,Resistance Bands,4,£286.55,1146.2,Cancelled,Credit Card,True
ORD-025114,CUST-3880,12 Sep 2023,canada,home & garden,Notebook Set,5,£96.65,483.25,shipped,PayPal,FALSE
ORD-034581,CUST-0112,"February 14, 2022",CANADA,electronics,LED Strip Lights,6,250.19,1501.14,Cancelled,Cash,No
ORD-030701,CUST-4145,2023-03-08,AUS, clothing,Running Shoes,1,46.28,46.28,DELIVERED,Credit Card,False
ORD-021957,CUST-0806,05 Jan 2023,DE,electronics,Resistance Bands,9,$9.48,85.32,Pending,Credit Card,FALSE
ORD-016751,,2022-07-28,,,Bluetooth Speaker,1,,,Pending,PayPal,Y
ORD-026306,CUST-4207,"March 30, 2023",United Kingdom,electronics,Notebook Set,2,$134.2,268.4,Delivered,Credit Card,0
ORD-015135,CUST-5201,14/03/2024,United Kingdom,clothing ,Monitor Stand,5,£169.09,845.45,pending,Bank Transfer,TRUE
ORD-036181,CUST-2197,06 Feb 2023,UK,books,Phone Case,7,$61.45,430.15,Pending,Bank Transfer,TRUE
ORD-003426,CUST-3766,08/11/2022,canada,clothing ,Coffee Table,3,244.76,734.28,Pending,Credit Card,Y
ORD-028686,CUST-0498,2023-07-02,United Kingdom,BOOKS,Notebook Set,7,218.98,1532.86,cancelled,Cash,1
ORD-005909,CUST-4425,26/07/2022,United States,home & garden,Water Bottle,2,$11.56,23.12,Pending,Credit Card,TRUE
ORD-012587,CUST-3383,2022-02-24,U.S.A,SPORTS,USB Hub,6,13.54,81.24,delivered,PayPal,no
ORD-016358,CUST-6413,04-01-2023,U.S.A,Sports ,Bluetooth Speaker,1,138.24,138.24,cancelled,Cash,yes
ORD-016881,CUST-1259,"January 23, 2023",US,books,Water Bottle,5,203.52,1017.6,delivered,Credit Card,0
ORD-040428,CUST-4374,2023-05-05,U.S.A,Sports,Resistance Bands,0,$258.43,0.0,cancelled,Credit Card,1
ORD-028810,,02-08-2024,,,Resistance Bands,1,,,cancelled,PayPal,1
ORD-015459,CUST-0106,09-05-2022,UK,Books,Sunglasses,8,28.84,230.72,DELIVERED,Cash,True
ORD-018517,CUST-0722,2023-03-10,germany,home & garden,Python Programming Book,1,206.91,206.91,shipped,Credit Card,FALSE
ORD-013853,CUST-5794,2023-06-12,USA,books,Yoga Mat,2,220.25,440.5,cancelled,Credit Card,0
ORD-024613,CUST-1297,"April 26, 2024",U.K.,Home & Garden,USB Hub,5,168.18,840.9,delivered,PayPal,yes
ORD-017110,CUST-2010,11-06-2023,CANADA, clothing,Coffee Table,7,133.66,935.62,DELIVERED,Cash,yes
ORD-009061,CUST-2851,2024-03-11,United States,BOOKS,Desk Lamp,6,267.54,1605.24,Shipped,Bank Transfer,no
ORD-025550,CUST-7246,02 Jun 2024,DE,BOOKS,Coffee Table,8,22.95,183.6,DELIVERED,PayPal,N
ORD-001793,,"February 01, 2023",,,Yoga Mat,6,,1178.64,Shipped,Credit Card,yes
ORD-000200,,16/08/2023,,,Backpack,8,,,pending,PayPal,False
ORD-025510,CUST-7293,07-21-2023,U.S.A,SPORTS,Sunglasses,9,£266.56,2399.04,Cancelled,Credit Card,0
ORD-046758,CUST-4498,01-25-2022,AUS,Books,Desk Lamp,5,100.06,500.3,DELIVERED,Credit Card,N
ORD-044346,CUST-2451,18/11/2022,Australia, clothing,Coffee Table,2,£16.79,33.58,delivered,Cash,1
ORD-007482,CUST-1922,2022-04-14,,,Sunglasses,2,$56.1,112.2,delivered,Bank Transfer,True
ORD-031784,CUST-5976,03-23-2024,U.S.A,BOOKS,Office Chair,9,£92.02,828.18,Cancelled,Cash,TRUE
ORD-011583,CUST-3651,2022-01-23,U.S.A,Home and Garden,Coffee Table,4,227.86,911.44,shipped,Cash,FALSE
ORD-042863,CUST-3200,12-06-2022,US,clothing ,Python Programming Book,6,247.42,1484.52,Pending,Credit Card,Y
ORD-016333,CUST-5604,25/09/2022,US,Sports ,USB Hub,3,$164.44,493.32,cancelled,PayPal,False
ORD-003738,CUST-3620,2022-10-30,United States,SPORTS,Resistance Bands,1,250.46,250.46,Pending,PayPal,True
ORD-010946,CUST-0053,2022-02-17,germany,Home & Garden,Python Programming Book,7,64.54,451.78,DELIVERED,PayPal,0
ORD-011464,CUST-0285,2024-05-16,CANADA,books,Travel Mug,2,157.72,315.44,Delivered,PayPal,1
ORD-025805,CUST-6853,2022-10-13,DE,Electronics,Wireless Headphones,6,$14.91,89.46,Pending,PayPal,False
ORD-017105,CUST-1539,11/05/2024,Canada,ELECTRONICS,Mechanical Keyboard,8,284.34,2274.72,delivered,Cash,True
ORD-030148,CUST-4273,2022-02-03,United Kingdom,electronics,LED Strip Lights,6,65.43,392.58,Cancelled,Cash,N
ORD-013625,,2022-08-10,,,Water Bottle,3,,,pending,Bank Transfer,No
ORD-023580,CUST-2761,13/01/2024,germany,home & garden,Monitor Stand,5,137.18,685.9,delivered,Cash,1
ORD-004730,,18 Dec 2022,,,Resistance Bands,8,,,Pending,Cash,Y
ORD-029158,CUST-0041,03-09-2024,USA,Books,Running Shoes,9,185.97,1673.73,Cancelled,Credit Card,N
ORD-032165,CUST-7738,12-07-2022,AUS,Books,Office Chair,6,299.94,1799.64,Pending,Credit Card,N
ORD-019763,CUST-3638,2022-10-20,AUS,BOOKS,Desk Lamp,9,8.56,77.04,Cancelled,Bank Transfer,False
ORD-013905,CUST-3292,2024-02-05,germany,BOOKS,Coffee Table,5,$263.79,1318.95,Shipped,PayPal,False
ORD-018472,,06/04/2023,,,Monitor Stand,6,,,Delivered,Credit Card,No
ORD-021056,CUST-4803,2023-12-21,U.K.,home & garden,Backpack,8,45.86,366.88,cancelled,Credit Card,False
ORD-015432,,2022-10-01,,,Laptop Stand,2,,,Delivered,Bank Transfer,True
ORD-008024,CUST-3322,12-03-2022,USA,,Running Shoes,7,129.57,906.99,cancelled,PayPal,no
ORD-029109,CUST-5611,05-13-2023,UK,BOOKS,Bluetooth Speaker,1,$196.06,196.06,cancelled,PayPal,TRUE
ORD-013048,CUST-4918,2022-08-14,AUS,Electronics,Monitor Stand,1,"$1,566.60",1566.6,Pending,Bank Transfer,yes
ORD-001585,,2023-01-24,,,Laptop Stand,5,,47.15,Cancelled,Cash,TRUE
ORD-022431,CUST-2806,2023-06-08,CANADA,home & garden,Water Bottle,9,$56.86,511.74,Shipped,Cash,False
ORD-030273,CUST-2447,07/03/2023,U.K.,Electronics,Yoga Mat,9,$46.56,419.04,shipped,PayPal,True
ORD-034251,CUST-3523,2024-03-05,canada,Clothing,Travel Mug,7,£173.27,1212.89,Shipped,Credit Card,True
